Product Name	Associated Patent(s)	Table Number
70 Series	11763112; 11042793; 10756900; 10573333; 10306051; 10289993; 10064005; 9977931; 9974080; 9959495; 9582794; 9554384; 9519814; 9477861; 9386133; 9378399; 9323969; 9189719; 9154927; 9104930; 8915444; 8914788; 8794520; 8791795; 8636200; 8596542; 8583924; 8550357; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7416125; 7296749; 7147162	1
700 Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7159764	1
7220 Argus	11763112; 11042793; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8678285; 8636200; 8583924; 8302866; 8302865; 7926721; 7852519	1
730B Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
741 Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
741B Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
751 Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
751B Series	11763112; 9974080; 9554384; 8915444; 8914788; 8791795; 8596542; 8296754; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
760 Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
761 Series	11763112; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
8520 (Area Imager)	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
8600 Ring Scanner	11763112; 9974080; 9864887; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8376217; 8317105; 8296754; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
8650 Ring Scanner	11763112; 9864887; 8376217	1
8670 Ring Scanner	11763112; 10051446; 9864887; 9861182; 9569652; 8490877; 8376217	1
8680i Wearable Computer	11763112; 11625547; 10990769; 10726222; 10463140; 10445540; 10430622; 10339346; 10185849; 9864887; 9800293; 9569652; 9436857; 8490877; 8376217; 7980471; 7950583; 7922089; 7854384; 7845561; 7841533; 7735737; 7712666; 7654461; 7637432; 7604175; 7575167; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7484666; 7469835; 7407109; 7357325; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7255279	1
8690i Wearable Computer	11757494; 10990769; 10726222; 10051446; 9864887; 9861182; 7980471; 7841533	1
8750 Handheld Scanner	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
8820 Wireless Handheld Scanner	11763112; 10289993; 9582794; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 7926721; 7852519	1
922 Series Proximity Sensor	8619435	1
932 Series Proximity Sensor	8619435	1
A3	11201395; 9793716; 9698865; 9612132; 9466870; 9362978; 9287926; 9068858; 8698487; 8589099; 8509438; 8477794; 8320302; 8305233; 8300581; 7504821; 7315162; 7071742; 6989667; 6773652	1
A3 Metering Gatekeeper	7312721	1
A4 Metering Gatekeeper	7312721	1
A4 Res	11201395; 10263504; 9921245; 9793716; 9698865; 9612132; 9466870; 9448264; 9362978; 9287926; 9160682; 9068858; 8698487; 8589099; 8564280; 8525692; 8379355; 8320302; 8305233; 7746054; 7504821; 7315162; 6989667	1
A4CI	11201395; 10263504; 9921245; 9793716; 9698865; 9612132; 9466870; 9448264; 9362978; 9287926; 9160682; 9068858; 8698487; 8589099; 8564280; 8525692; 8379355; 8320302; 8305233; 7746054; 7504821; 7315162; 6989667	1
AC-250 NXS Smart	10176709	1
Accuglide ZoneFlex	11059676; 9199802; 9037290; 8763788; 7665597	1
AccuNurse	10431220; 9818402; 9171543; 8521538; 8451101; 8255225; 7664657	1
A-Class Mark II	8911169; 8842143; 8842142; 8366335; 6846121	1
Advanced Migration Technologies (AMT)	10162827	1
Advanced Process Control (APC)	9733627	1
Air Detective	11391613; 11333593; 11221288; 11181456	1
Air Fed Suits Hapichem	9554604	1
AirSoft	8479744; 7210484	1
Alvey 680 Series	9004259	1
Alvey 750 Hybrid	11079925; 10649643; 8264697; 8248620	1
Alvey 780 Series	9004259	1
Alvey 890i Series	9004259	1
Alvey 950 Hybrid	11079925	1
Alvey Bumpless Case Turner	10899551; 10793361	1
Alvey Model 450 Semi-Automatic	9004259	1
AMR 2-Pin Speed Sensor	11448659; 10383240; 7245115	1
APS00B Angle Sensor IC	9041387; 7915886; 7834616	1
AQ7 Series Gas Sensors	10883875; 9964507; 8771489	1
ARC Smart Position Sensor	9360345; 7408343; 7173414; 7145326; 7030604	1
AreaRAE Plus	11650188; 10401340; 9459235	1
AreaRAE Pro	10989691; 10739310; 10401340; 10274474; 9459235	1
AreaRAE Rapid Deployment Kit (RDK)	10401340; 9459235	1
AreaRAE Steel	10401340; 9459235	1
ASSET PERFORMANCE MANAGEMENT	10501274	1
Assurance 360	10536534; 7076400	1
AutoCube 8200	11763112; 11639846; 11403887; 11353319; 11181808; 11074708; 11047672; 11014123; 10907954; 10845184; 10824052; 10805603; 10467806; 10321127; 10264165; 10249030; 10240914; 10228452; 10218964; 10203402; 10140724; 10060729; 9976848; 9940721; 9897434; 9841311; 9826220; 9823059; 9786101; 9779546; 9762793; 9752864; 9464885; 9292969; 9080856; 9007368; 8908995; 8381979; 8381976; 7726575	1
Automated Device Commissioning (ADC)	10503160	1
Automated Storage and Retrieval Systems (AS/RS)	10956858	1
AWM3000 Series Airflow Sensors	9612146	1
Barcoding Products	9659203	1
Basic ABP Series Pressure Sensors	10295421; 9470593; 8322225; 7216547; 6923069	1
Basic ABP2 Series Pressure Sensors	11519800; 11506557; 10684184; 10481024; 10370243; 9267857; 8567254; 8516897; 8490496; 8322225; 8297127; 8276460; 8230743; 8186226; 8082797; 7950286; 7930944; 7677109; 7493822	1
Basic TBF Series	10094726	1
Basic TBP Series Pressure Sensors	7493822	1
BCU 4 (Next Generation)	9080923	1
Bed Management	8682284; 8406521	1
Belt Conveyor	9745143; 9505557; 9499341; 9309954; 9290333	1
BMS Current Sensor	11701457; 9739808; 8638092	1
BodyControl	10449400; 10137323; 10047560; 8584797	1
BOSS 1	10708389; 10577191; 10144593; 9738455; 9576080; 9309058; 9280619; 9199799; 9110464; 8886356; 8731722; 7725213; 7611006; 7497316	1
BOSS 2	10708389; 10577191; 10144593; 9738455; 9576080; 9309058; 9280619; 9199799; 9110464; 8886356; 8731722; 7725213; 7611006; 7497316	1
BOSS 3	10708389; 10577191; 10144593; 9738455; 9576080; 9309058; 9280619; 9199799; 9110464; 8886356; 8731722; 7725213; 7611006; 7497316	1
Burner Control Units BCU 560	9080923	1
Burner Control Units BCU 565	9080923	1
Burner Control Units BCU 580	9080923	1
BW Clip Series	9557306	1
BW Connect	11080992; 9768976	1
BW Flex4	10969373; 8318525	1
BW Flex5	8318525	1
BW Icon	8318525	1
BW Icon+	8318525	1
BW POD	10847011	1
BW RIGRAT	11436908; 11170629	1
BW Solo	10877010; 9768976	1
BW Ultra	11436908; 9966948; 9768976; 9368012	1
C300 Controller	8688867; 7865785	1
C300PM controller	10401816	1
C4 Series Printer	8842143; 8842142	1
CA200 Series PAPR	8453646	1
CalCoil PRO/Calcoil CW	9756686; 8415595	1
Calibration Kits	11099163; 10295515	1
Caliper Sensors	9927366; 6967726; 6936137	1
Captuvo SL22h	9304376; 9696612	1
Captuvo SL42h	9304376; 9696612	1
C-Clamp with RocketLock Technology	10686266	1
CDI Series Switches	7549516	1
CF3680 2D Imager Module	10120268; 8210436	1
CF7000 Series Abrasive Blast Respirator	9162088; 8873170	1
Ci70-Ex intrinsically Safe Mobile Computer	11763112; 10756900; 10573333; 10306051	1
CK3	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK30	11763112; 11734531; 8014354	1
CK30AA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK30BA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK30BC	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK30CA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK30CB	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK30XA	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK31	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK31CAN	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK31CB	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK31CN	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
CK32	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 8014354; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
CK32AS	11763112; 11734531; 9974080; 9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749; 7121467; 7027037; 6859190	1
