Product Name	Associated Patent(s)	Table Number
Tote Dumper	11066253; 10322438	1
Touchpoint Pro Controller	9077097	1
ToxiPro Single Gas Detector	11187670	1
Trace	10877450; 10474136; 10296515; 10295982; 10218573; 10148519	1
Transnorm singulation concept (TSC)	10647520; 10501269; 9878854	1
Transnorm Sovex TL1-TL4  (Booms)	10968044; 10358303; 8662291	1
Transnorm TS 1600	9120628; 7975839; 7604112; 7497326; 7222728; 7131530	1
Transnorm TS 6500	7802674; 7506745	1
Trendview - Paperless Recorders	9531349	1
TriOx	7163392	1
TruStability HSC Series	10197465; 8567254; 8322225; 8082797; 7493823; 7077008	1
TruStability NSC Series	8567254; 8322225; 7077008	1
TruStability RSC Series	8567254; 8322225; 8082797; 7493823; 7077008	1
TruStability SSC Series	10317382; 8567254; 8322225; 8082797; 7791200; 7531426; 7493823; 7077008	1
TruStability TSC Series	8567254; 8322225; 7077008	1
TrustFit Pod	7220372	1
TS 6510	7802674; 7506745	1
TS 6565	7802674; 7506745	1
T-Series Filters & Cartridges	8900338	1
TT8810 Signature Pad	9734493; 8723804; 7451917; 7121470	1
Tube Firing Burner	7104787	1
TUFF CUT	8621890	1
Turntables	9309058; 9290333; 9114939; 7681710	1
UltraRAE 3000 +	11162917; 10401340; 9459235	1
UMC800	9589567	1
Uniformance	10235447; 8261202	1
Uniformance Asset Sentinel	11105664; 10823598; 10819722; 10747206; 10657199; 10572493; 10432647; 9618037; 9310790; 8620622; 8594977; 7945397	1
Uniformance Insight	10534518; 9305383	1
Uniformance PHD	9971324; 9218000	1
UniSim Design Suite	7272544	1
Universal Clamps	8517776; 8317536	1
Universal Embedded Appliance (UEA)	10855462; 10749692; 10587421	1
Universal Escape Pocket	9168400	1
Universal I/O Module	10248601; 8656065	1
Universal Marshalling Solution	11445623; 11063426; 10942499; 10503668	1
Universal Safety Barrier Adaptor FC-UGAO01	10579027; 9361247	1
UVC	9976896; 9863990; 9417124	1
UVD	9976896; 9863990; 9417124	1
Uvex Bionic	8225421; 7007306	1
UVEX Fitlogic Safety Glasses	7210777	1
Uvex Flex Seal	7162750; 7003811	1
Uvex Genesis X2	11593591; 11317050	1
Uvex Genesis XC	11593591; 11317050; 7055951	1
Uvex Strategy	7743432	1
Uvex Turboshield	9560893; 8850624	1
V100	7975560	1
V15 Series Basic Switches	7880103; 6847000	1
V19 Series Basic Switches	7880103	1
V-Belt Live Roller Conveyor	10040633; 9016456; 7665597; 7134544	1
VC300 Söll Vi-Go Fall Arrester	11612772; 11577105; 10449400; 10137323; 10047560; 8584797	1
Ventilated Protective Clothing MAR 95-3	11123582; 11027156; 10004925	1
VeriPRO Fit-Testing System	9381119; 7978861	1
VeriShield 300 Series - Smart Hearing Solution	11743629; 11318051; 11265644; 11019420; 10856067	1
VeriShield Mobile Application	10744038; 10390157	1
Verishield VS 332	11670275	1
Verishield VS 332i	11670275; 11540071	1
Vertex C Toxic Gas Monitoring System	10656095; 9651532; 7718123	1
Vertex Edge	10656095; 9651532; 7718123	1
Vertex M Multi-Point Toxic Gas Monitoring System	10656095; 9651532; 7718123	1
VertiSwitch TS 6600	10941006; 9016468	1
VertiSwitch TS 6610	10941006; 9016468	1
VF Series	7245115	1
VM Series	11448659; 7245115	1
Vocollect A500 Mobile Device	8438659; 7827032	1
Vocollect A700x	11604675; 8550354; 8438659; 7827032	1
Vocollect A710 Mobile Device	11158336; 10714121; 9781502	1
Vocollect A720 Mobile Device	11158336; 10714121; 9781502; 8438659; 7827032	1
Vocollect A730 Mobile Device	11158336; 10714121; 9781502; 8914788; 8868421; 8756059; 8612235; 8596542; 8438659; 8438239; 8317105; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7883013; 7827032; 7770799; 7699227; 7600687; 7416125; 7296749	1
Vocollect BlueStreak	11743958	1
Vocollect SL-14 Headset	11158336; 10714121; 9781502; 8438659; 7885419	1
Vocollect SoundSense	11158336; 10714121; 9781502	1
Vocollect SR-15 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 7885419	1
Vocollect SR-20 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 8241053; 7885419; 7391863	1
Vocollect SR-21 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 8241053; 7885419; 7391863	1
Vocollect SR-30 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 8241053; 7885419; 7391863	1
Vocollect SR-31 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 8241053; 7391863	1
Vocollect SR-40 Headset	11158336; 10714121; 9781502; 8612032; 8438659; 8241053; 7885419; 7391863	1
Vocollect VoiceArtisan	9361882; 9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceCatalyst	11158336; 10714121; 10402038; 10269342; 10262660; 10068566; 9984685; 9928829; 9781502; 9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8700405; 8612235; 8438659; 8438239; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669; 7053772	1
Vocollect VoiceClient MP	11158336; 10714121; 10068566; 9781502; 8612235; 8200495	1
Vocollect VoiceConsole	9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8571612; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 8128422; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceDirect	9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceDirect ERP for SAP	9202458; 9171539; 9104930; 8996384; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceExpress	9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceInterface Objects	9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Vocollect VoiceLink	10909490; 9104930; 8914788; 8791795; 8233924; 7996002; 7934660; 7609669; 7053772	1
VOCRAE 3000	11714073; 11480554; 10969371; 10782273	1
Voice Check	7053772	1
Voice Check and Maintenance & Inspection	11743958; 11646028; 11282515; 10810529; 10529335; 10410629; 10121466; 10120657; 10068566; 9984685; 9600135; 9299344; 9076459; 8914290; 8128422; 7053772	1
Voice SR-35 Wired Headset	11158336; 10714121; 9781502; 8438659; 7885419	1
Voice SRX2 Bluetooth Wireless Headset	11743958; 11158336; 10714121; 10694277; 10455328; 10448151; 10375473; 10313811; 10085101; 9936278; 9781502; 9299344; 9076459; 8612032; 8417185; 8241053; 7885419; 7391863	1
Voice SRX3 Wireless Headset	10694277; 10448151; 9936278; 8417185; 7885419	1
VoiceClient	11158336; 10714121; 10269342; 10068566; 9781502; 9202458; 9104930; 8914788; 8868421; 8791795; 8756059; 8612235; 8438659; 8374870; 8255225; 8255219; 8233924; 8200495; 7996002; 7949533; 7934660; 7895039; 7865362; 7827032; 7664657; 7609669	1
Voice-Directed Picking	10956858; 9373098; 9152940	1
Voyager 1200G	11763112; 11042793; 10621397; 10289993; 10223565; 10064005; 9959495; 9740905; 9659200; 9582794; 9530038; 9519814; 9386133; 9367722; 9323969; 9224025; 9154927; 9104930; 9064167; 9038911; 9016576; 8950678; 8915444; 8914788; 8794520; 8789759; 8752766; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8376233; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7614561; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1200g-bf	11763112; 11042793; 10621397; 10289993; 10064005; 9959495; 9582794; 9530038; 9519814; 9323969; 9224025; 9154927; 9104930; 8950678; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8376233; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1202g	11763112; 11042793; 10621397; 10289993; 10223565; 10204252; 10064005; 10061118; 10002274; 9959495; 9740905; 9659200; 9582794; 9530038; 9519814; 9386133; 9367722; 9323969; 9224025; 9154927; 9104930; 9064167; 9038911; 9016576; 8950678; 8915444; 8914788; 8794520; 8789759; 8752766; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8376233; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132; 8794520	1
Voyager 1202g-bf	11763112; 11042793; 10621397; 10289993; 10064005; 9959495; 9659200; 9582794; 9519814; 9386133; 9367722; 9323969; 9154927; 9064167; 9038911; 8950678; 8794520; 8789759; 8752766; 8636200; 8583924; 8550357; 8442585; 8376233; 8302866; 8302865; 7926721; 7852519	1
Voyager 1250g	11763112; 11042793; 10621397; 10289993; 10064005; 9959495; 9659200; 9582794; 9530038; 9519814; 9386133; 9367722; 9323969; 9224025; 9154927; 9104930; 9064167; 9038911; 9016576; 8950678; 8915444; 8914788; 8794520; 8789759; 8752766; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1400g	11763112; 11042793; 10867141; 10621397; 10296770; 10289993; 10223565; 10152664; 10133885; 10064005; 9990520; 9959495; 9892356; 9767337; 9740905; 9619685; 9582794; 9530038; 9519814; 9386133; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8628015; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1450g	11763112; 11042793; 10867141; 10621397; 10296770; 10289993; 10223565; 10210365; 10152664; 10133885; 10064005; 9990520; 9959495; 9892356; 9767337; 9740905; 9734370; 9582794; 9530038; 9519815; 9519814; 9386133; 9323969; 9262660; 9224025; 9154927; 9104930; 9087249; 8915444; 8914788; 8794520; 8646692; 8636200; 8628015; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8387881; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1452g	11763112; 11042793; 10867141; 10621397; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9530038; 9519815; 9519814; 9386133; 9323969; 9262660; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8387881; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager 1602g	11763112; 11042793; 10621397; 10289993; 10248822; 10223565; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9740905; 9684809; 9582794; 9530038; 9519814; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7147162; 7090132	1
Voyager 9520	11763112; 11042793; 10867141; 10621397; 10289993; 10064005; 10061118; 9959495; 9582794; 9530038; 9519814; 9386133; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Voyager Power	11763112; 10075997; 10002274; 9940497; 9775190; 9652650; 9609241; 9576169; 9576158; 9558386; 9485802; 9231644; 9104930; 8919654; 8708236; 8479992; 8317105; 8296754; 8162218; 8141784; 8127992; 7637430; 7546951; 7416125	1
VoyagerCG 9540	11763112; 11042793; 10867141; 10621397; 10289993; 10064005; 10061118; 9959495; 9582794; 9530038; 9519814; 9386133; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
VoyagerGS 9590	11763112; 11042793; 10621397; 10289993; 10064005; 9959495; 9582794; 9530038; 9519814; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7614561; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
VoyagerGS 9590i	11763112; 11042793; 10621397; 10289993; 10064005; 9959495; 9582794; 9530038; 9519814; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7546951; 7527206; 7416125; 7296749; 7090132	1
Vuquest 3310g	11763112; 11042793; 10289993; 10223565; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9740905; 9582794; 9519814; 9418270; 9323969; 9224025; 9154927; 9104930; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8511572; 8479992; 8376217; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8157175; 8157174; 8132731; 8052057; 8025232; 8011585; 7997489; 7988053; 7984855; 7980471; 7950583; 7946493; 7934660; 7926721; 7922089; 7883013; 7854384; 7852519; 7845561; 7841533; 7784696; 7770799; 7740176; 7735737; 7712666; 7699227; 7681799; 7654461; 7637433; 7637432; 7604175; 7600687; 7575167; 7568628; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7484666; 7469835; 7416125; 7407109; 7357325; 7320431; 7296749; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7255279; 7216810; 7213762; 7090132	1
Vuquest 3320g	11763112; 11042793; 10289993; 10223565; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9740905; 9659199; 9582794; 9519814; 9465970; 9418270; 9323969; 9224025; 9154927; 9104930; 8978985; 8915444; 8914788; 8794520; 8646692; 8636200; 8596542; 8583924; 8511572; 8479992; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8157175; 8157174; 8132731; 8052057; 8025232; 8011585; 7997489; 7988053; 7984855; 7980471; 7950583; 7946493; 7934660; 7926721; 7922089; 7883013; 7854384; 7852519; 7845561; 7841533; 7784696; 7770799; 7740176; 7735737; 7712666; 7699227; 7681799; 7654461; 7637433; 7637432; 7604175; 7600687; 7575167; 7568628; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7484666; 7469835; 7416125; 7407109; 7357325; 7320431; 7296749; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7255279; 7216810; 7213762; 7090132	1
Vuquest 3330g	10296770; 9990520; 8628015; 8157175; 8157174; 8132731; 8052057; 8011585; 7988053; 7980471; 7950583; 7922089; 7854384; 7845561; 7841533; 7735737; 7712666; 7681799; 7654461; 7637433; 7637432; 7604175; 7575167; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7484666; 7469835; 7407109; 7357325; 7320431; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7255279; 7216810	1
VX3	9974080; 9554384; 9104930; 9037344; 8996194; 8915444; 8914788; 8791795; 8596542; 8531829; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
VX6	9974080; 9554384; 9104930; 9037344; 8996194; 8915444; 8914788; 8791795; 8596542; 8531829; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
VX8	9974080; 9554384; 9423318; 9104930; 9037344; 8996194; 8915444; 8914788; 8791795; 8596542; 8531829; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
VX9	9974080; 9554384; 9423318; 9104930; 9037344; 8996194; 8915444; 8914788; 8791795; 8596542; 8531829; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
Wall Hugger Invisiflame WHI	8485813	1
WM5	11763112	1
WM6	11763112	1
Worker Performance	11380174; 11244264; 11157869; 11014123; 10909490; 10810530; 10262660; 9846727; 9642184; 8233924	1
Workstation W1110	9701137; 9061527; 8842143; 8842142	1
xD (Extended Display) & xL (Extended Light)	10956858	1
XE Series Switches	8022321	1
Xenon 1900g	11763112; 11625550; 11604933; 11593591; 11507767; 11317050; 11238252; 11238251; 11042793; 10949634; 10867141; 10797498; 10691907; 10621397; 10296770; 10289993; 10223565; 10210365; 10204252; 10158612; 10152664; 10133885; 10064005; 10049249; 10002274; 9996720; 9990527; 9990520; 9959495; 9892356; 9767337; 9740905; 9734370; 9672507; 9659199; 9652650; 9582794; 9542584; 9530040; 9519814; 9489557; 9465970; 9438867; 9424453; 9418270; 9412242; 9390596; 9386133; 9323969; 9224025; 9195868; 9154927; 9129172; 9104930; 9087249; 9058527; 8978985; 8915444; 8914788; 8910875; 8910870; 8870074; 8794526; 8794520; 8720785; 8720784; 8657200; 8646692; 8640960; 8636215; 8636200; 8628015; 8596542; 8583924; 8550357; 8511572; 8479992; 8474719; 8442585; 8387881; 8376217; 8373108; 8348167; 8345117; 8317105; 8302866; 8302865; 8297511; 8296754; 8292180; 8281993; 8218027; 8162218; 8104686; 8025232; 8002188; 7997489; 7984855; 7980471; 7950583; 7946493; 7934660; 7926721; 7922089; 7883013; 7874485; 7852519; 7845561; 7841533; 7784696; 7780089; 7770799; 7740176; 7712666; 7699227; 7654461; 7637432; 7637430; 7600687; 7575167; 7568628; 7546951; 7527206; 7484666; 7416125; 7387252; 7331523; 7296749; 7090132	1
Xenon 1900gh	11763112; 11593591; 11317050; 11042793; 10797498; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
Xenon 1902g	11763112; 11593591; 11317050; 11042793; 10867141; 10797498; 10621397; 10296770; 10289993; 10158612; 10152664; 10133885; 10064005; 10002274; 9990520; 9959495; 9892356; 9767337; 9582794; 9542584; 9519814; 9386133; 9323969; 9195868; 9154927; 9104930; 8915444; 8914788; 8870074; 8794520; 8646694; 8646692; 8636200; 8628015; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8439267; 8381984; 8376217; 8348167; 8345117; 8317105; 8302866; 8302865; 8297511; 8296754; 8292180; 8281993; 8218027; 8162218; 8157177; 8127992; 8104686; 8083148; 8025232; 7992784; 7984855; 7980471; 7967205; 7950583; 7946493; 7934660; 7926721; 7922089; 7922088; 7883013; 7874485; 7852519; 7845561; 7841533; 7784696; 7770799; 7740176; 7712666; 7699227; 7654461; 7637432; 7637430; 7600687; 7575167; 7568628; 7546951; 7527206; 7484666; 7416125; 7331523; 7296749; 7090132	1
Xenon 1902g-bf	11763112; 11593591; 11317050; 11139665; 11042793; 10867141; 10797498; 10289993; 10263443; 10158612; 10152664; 10133885; 10064005; 10002274; 9959495; 9892356; 9767337; 9582794; 9542584; 9519814; 9386133; 9323969; 9154927; 8870074; 8794520; 8636200; 8583924; 8550357; 8442585; 8392260; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
Xenon 1902gh	11763112; 11593591; 11317050; 11042793; 10797498; 10289993; 10064005; 9959495; 9659199; 9582794; 9519814; 9465970; 9418270; 9412242; 9390596; 9323969; 9224025; 9154927; 9104930; 8978985; 8915444; 8914788; 8870074; 8794520; 8646692; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 7997489; 7946493; 7934660; 7926721; 7883013; 7852519; 7770799; 7699227; 7600687; 7568628; 7546951; 7527206; 7416125; 7296749	1
Xenon 1912g	11763112; 11593591; 11317050; 11042793; 10797498; 10621397; 10289993; 10152664; 10133885; 10064005; 10002274; 9959495; 9892356; 9767337; 9582794; 9542584; 9519814; 9323969; 9195868; 9154927; 8870074; 8794520; 8646694; 8636200; 8583924; 8550357; 8442585; 8381984; 8376217; 8348167; 8345117; 8302866; 8302865; 8297511; 8292180; 8127992; 8104686; 8083148; 8025232; 7992784; 7984855; 7980471; 7967205; 7950583; 7926721; 7922089; 7922088; 7874485; 7852519; 7845561; 7841533; 7784696; 7740176; 7712666; 7654461; 7637432; 7637430; 7575167; 7546951; 7527206; 7484666; 7331523	1
Xenon 1930g	11763112; 11593591; 11489352; 11317050; 11042793; 10804718; 10797498; 10621397; 10289993; 10152664; 10133885; 10064005; 9997935; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9195868; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8376217; 8348167; 8345117; 8302866; 8302865; 8297511; 8292180; 8104686; 8025232; 7984855; 7980471; 7950583; 7926721; 7922089; 7874485; 7852519; 7845561; 7841533; 7784696; 7740176; 7712666; 7654461; 7637432; 7637430; 7575167; 7546951; 7527206; 7484666; 7331523	1
Xenon 1930h	11763112; 11593591; 11317050; 11042793; 10797498; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
Xenon 1932g	11763112; 11593591; 11317050; 11042793; 10867141; 10797498; 10621397; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9734370; 9582794; 9519814; 9323969; 9195868; 9154927; 9087249; 8794520; 8646694; 8636200; 8583924; 8550357; 8442585; 8381984; 8376217; 8348167; 8345117; 8302866; 8302865; 8297511; 8292180; 8127992; 8104686; 8083148; 8025232; 7992784; 7984855; 7980471; 7967205; 7950583; 7926721; 7922089; 7922088; 7874485; 7852519; 7845561; 7841533; 7784696; 7740176; 7712666; 7654461; 7637432; 7637430; 7575167; 7546951; 7527206; 7484666; 7331523	1
Xenon 1950g	11763112; 11593591; 11317050; 11042793; 10797498; 10621397; 10289993; 10263443; 10152664; 10133885; 10064005; 10043042; 9959495; 9892356; 9767337; 9582794; 9576158; 9519814; 9323969; 9195868; 9154927; 8794520; 8646694; 8636212; 8636200; 8583924; 8550357; 8474719; 8442585; 8381984; 8376217; 8348167; 8345117; 8302866; 8302865; 8297511; 8292180; 8127992; 8104686; 8083148; 8025232; 7992784; 7984855; 7980471; 7967205; 7950583; 7926721; 7922089; 7922088; 7874485; 7852519; 7845561; 7841533; 7784696; 7740176; 7712666; 7654461; 7637432; 7637430; 7575167; 7546951; 7527206; 7484666; 7331523	1
Xenon 1952g	11763112; 11675987; 11593591; 11317050; 11139665; 11042793; 10797498; 10621397; 10289993; 10263443; 10152664; 10133885; 10064005; 10043042; 9959495; 9892356; 9767337; 9582794; 9576158; 9519814; 9323969; 9195868; 9154927; 8794520; 8646694; 8636212; 8636200; 8583924; 8550357; 8474719; 8442585; 8381984; 8376217; 8348167; 8345117; 8302866; 8302865; 8297511; 8292180; 8127992; 8104686; 8083148; 8025232; 7992784; 7984855; 7980471; 7967205; 7950583; 7926721; 7922089; 7922088; 7874485; 7852519; 7845561; 7841533; 7784696; 7740176; 7712666; 7654461; 7637432; 7637430; 7575167; 7546951; 7527206; 7484666; 7331523	1
Xenon Power	11763112; 11042793; 10289993; 10064005; 9959495; 9930142; 9876957; 9864887; 9646189; 9582794; 9558386; 9519814; 9489557; 9323969; 9288372; 9154927; 9104930; 8794520; 8636200; 8583924; 8479992; 8302866; 8302865; 8157177; 7980471; 7950583; 7926721; 7922089; 7854384; 7852519; 7845561; 7841533; 7712666; 7681799; 7654461; 7637433; 7637432; 7604175; 7575167; 7568628; 7546951; 7543752; 7540425; 7527206; 7503498; 7494063; 7490778; 7484666; 7469835; 7416125; 7407109; 7357325; 7293714; 7284705; 7281661; 7278575; 7270272; 7267282; 7255279; 879099	1
Xenon Ultra 1960	11467478; 11451716; 11139665; 11003876; 10897150; 9997935; 9785811; 9659199; 9639726; 9578269; 9530038; 9104930; 8695880; 8296754; 7967205; 7681799; 7604175; 7464877	1
Xenon Ultra 1962	11467478; 11139665; 11003876; 10897150; 9659199; 9639726; 9578269; 9530038; 9104930; 9047420; 8695880; 8392260; 8296754; 8157177; 7967205	1
Xenon XP 1950g	8794520	1
Xenon XP 1950h	8794520	1
Xenon XP 1952g	8794520	1
Xenon XP 1952g Battery Free	8794520	1
Xenon XP 1952g UV	8794520	1
Xenon XP 1952h	8794520	1
XenonXP 1950	10289993; 10204252; 10171767; 10152664; 10133885; 10064005; 10043042; 10032056; 10002274; 10002272; 9959495; 9930142; 9892356; 9773142; 9767337; 9740904; 9652650; 9609241; 9582794; 9578269; 9576158; 9542584; 9519814; 9418270; 9412242; 9390596; 9323969; 9224025; 9195868; 9154927; 9104930; 8915444; 8914788; 8870074; 8794520; 8646694; 8646692; 8636212; 8636200; 8596542; 8583924; 8550357; 8511572; 8479992; 8442585; 8381984; 8376217; 8348167; 8345117; 8317105; 8302866; 8302865; 8297511; 8296754; 8292180; 8281993; 8162218; 8127992; 8104686; 8083148; 8025232; 7997489; 7992784; 7984855; 7980471; 7967205; 7950583; 7946493; 7934660; 7926721; 7922089; 7922088; 7883013; 7874485; 7852519; 7845561; 7841533; 7784696; 7770799; 7740176; 7712666; 7699227; 7654461; 7637432; 7637430; 7600687; 7575167; 7568628; 7546951; 7527206; 7484666; 7416125; 7331523; 7296749	1
